name,nationality,rating,position1,position2,position3,age,team
Michael Ríos,Chile,66,RM,CM,,34,Depor. Iquique
Eric Godoy,Chile,66,CB,,,31,Curicó Unido
Nicolás AvellanedaL,Argentina,66,GK,,,25,Defensa
Ronald de la Fuente,Chile,66,LB,,,27,Uni. Concepción
Gabriel Sandoval,Chile,66,CDM,CM,,34,CD Antofagasta
Juan Abarca,Chile,66,CB,RB,LB,29,San Luis
Cristián Guerra,Chile,66,GK,,,24,Unión Española
Gauthier Gallon,France,66,GK,,,25,US Orléans
Marcos Figueroa,Argentina,66,ST,RM,,28,SM Tucumán
Alejandro BernalL,Colombia,66,CDM,CM,,30,América de Cali
Mauricio Restrepo,Colombia,66,CDM,,,37,Once Caldas
Juan Ignacio Duma,Argentina,66,RW,LW,,24,CD Antofagasta
Camilo Ayala,Colombia,66,CDM,CM,,32,Rionegro Águilas
Víctor Castillo,Colombia,66,CDM,,,31,Atl. Bucaramanga
Dairon Asprilla,Colombia,66,RM,,,26,Portland Timbers
Diego Novoa,Colombia,66,GK,,,29,La Equidad
Deivy Balanta,Colombia,66,CB,,,24,Junior
Luis Narváez,Colombia,66,CDM,CB,,34,Junior
Carlos Escobar,Chile,66,ST,,,28,San Luis
Manuel Palacios,Colombia,66,RM,LM,ST,25,Al. Petrolera
Ray Vanegas,Colombia,66,LM,ST,,25,Once Caldas
Juan Zuluaga,Colombia,66,RB,,,25,Jaguares
Sergio Romero,Colombia,66,ST,,,29,Atl. Bucaramanga
Luis Paz,Colombia,66,CDM,,,29,Deportes Tolima
Ramiro Sánchez,Colombia,66,GK,,,34,Millonarios
David Murillo,Colombia,66,RB,,,25,Junior
Hárrison MojicaL,Colombia,66,CAM,,,25,Atl. Bucaramanga
Luca Crecco,Italy,66,CM,LM,,22,Pescara
Dennis Erdmann,Germany,66,CDM,CB,,27,Magdeburg
Jens-Martin Gammelby,Denmark,66,RB,,,23,Brøndby IF
Luis Cabrera,Chile,66,CDM,CM,,24,Audax Italiano
Alec Kann,United States,66,GK,,,28,Atlanta United
Isak Ssewankambo,Sweden,66,RB,CM,,22,Molde FK
James WilsonL,England,66,ST,,,22,Aberdeen
Hosam Aiesh,Sweden,66,RM,RW,,23,Östersunds FK
Stephen O'Donnell,Scotland,66,RB,,,26,Kilmarnock
João Pedro,Portugal,66,CM,CDM,,25,LA Galaxy
Kasper Pedersen,Denmark,66,CB,,,25,Aalborg BK
Jakob Blåbjerg,Denmark,66,CB,LB,,23,Aalborg BK
Dmitriy Efremov,Russia,66,RM,RW,,23,CSKA Moscow
Paweł Stolarski,Poland,66,RB,RM,,22,Legia Warszawa
Matt MaceyL,England,66,GK,,,23,Plymouth Argyle
Hazaa Ibrahim Al Hazaa,Saudi Arabia,66,ST,LM,,27,Ettifaq FC
Jamie Hanson,England,66,CDM,CM,RB,22,Oxford United
Laurent Abergel,France,66,CDM,RB,CM,25,Nancy
Jonathan Ring,Sweden,66,RM,LM,,26,Djurgårdens IF
Senna MiangueL,Belgium,66,LB,LM,,21,Standard Liège
Lucas Cháves,Argentina,66,GK,,,23,Argentinos Jrs.
Carlton Morris,England,66,ST,RW,,22,Norwich
Jamie Allen,England,66,CDM,CM,,23,Burton Albion
Abdulrahman Al Ghamdi,Saudi Arabia,66,RM,ST,CAM,23,Al Ittihad
Fabrice Ondoa,Cameroon,66,GK,,,22,KV Oostende
Kwon Kyung Won,Korea Republic,66,CB,CDM,,26,Tianjin Quanjian
Corentin Fiore,Belgium,66,CB,LB,,23,Palermo
Dillon Powers,United States,66,CM,,,27,Orlando City
Myenty Abena,Suriname,66,RB,CB,,23,De Graafschap
Danny Bakker,Netherlands,66,CDM,CM,CB,23,ADO Den Haag
Markus Lackner,Austria,66,CDM,CB,,27,SK Sturm Graz
Anthony Syhre,Germany,66,CB,,,23,Würzburg
Ignacio González,Mexico,66,RB,RM,,26,Monarcas Morelia
Andreas Maxsø,Denmark,66,CB,RB,,24,FC Zürich
Christopher Lenz,Germany,66,LB,,,23,Union Berlin
Vladimir Ranković,Germany,66,RB,RM,,25,Hansa Rostock
Ivan Toney,England,66,ST,,,22,Peterborough
Baba Traoré,France,66,LB,CB,,25,Havre AC
Andreas Vindheim,Norway,66,RB,,,23,Malmö FF
Adrian Popa,Romania,66,RM,LM,,30,Reading
Ulrik Yttergård Jenssen,Norway,66,CB,CDM,,22,FC Nordsjælland
Saeed Al Muwallad,Saudi Arabia,66,RB,RM,,27,Al Ahli
Ulrich Taffertshofer,Germany,66,CDM,CM,CB,26,VfL Osnabrück
René Vollath,Germany,66,GK,,,28,KFC Uerdingen
Lucas Hufnagel,Georgia,66,CM,RM,LM,24,Unterhaching
Maximilian Ahlschwede,Germany,66,CB,RB,,28,Würzburg
Dennis Mast,Germany,66,LM,LWB,,26,Würzburg
Martin Konczkowski,Poland,66,RB,,,24,Piast Gliwice
Marc Lorenz,Germany,66,LM,,,30,Karlsruher SC
Marc Endres,Germany,66,CB,,,27,Unterhaching
Dominik Starkl,Austria,66,LM,ST,RM,24,Admira Wacker
Liam Roberts,England,66,GK,,,23,Walsall
Higinio,Spain,66,ST,CAM,,24,CD Numancia
Thamsanqa Gabuza,South Africa,66,ST,,,31,Orlando Pirates
Fernando EvangelistaL,Argentina,66,LB,,,26,Estudiantes
Abdullah Al Salem,Saudi Arabia,66,CAM,ST,,25,Al Fayha
Nasiru Mohammed,Ghana,66,RW,,,24,BK Häcken
Gabriel Valverde,Bolivia,66,RB,CB,,28,Free Agents
Nico Hidalgo,Spain,66,RM,,,26,Cádiz CF
Michał KopczyńskiL,Poland,66,CDM,CM,,26,Well. Phoenix
Martin Boyle,Scotland,66,RM,RWB,,25,Hibernian
Fabrice Olinga,Cameroon,66,LM,RM,,22,Excel Mouscron
Lucas Woudenberg,Netherlands,66,LB,,,24,SC Heerenveen
Andrés Prieto,Spain,66,GK,,,24,Málaga CF
Rodrigo Godínez,Mexico,66,CB,RB,,25,Lobos
Hwang Seok Ho,Korea Republic,66,CB,,,29,Shimizu S-Pulse
Eslam Sarraj,Saudi Arabia,66,ST,RM,LM,29,Ohod Club
Edison Flores,Peru,66,LM,,,24,Aalborg BK
Lee Chang Geun,Korea Republic,66,GK,,,24,Jeju United
Aqeel Al Sahabi,Saudi Arabia,66,CB,RB,,31,Al Faisaly
Salva Ruíz,Spain,66,LB,CB,,23,RCD Mallorca
Jin Seong Wook,Korea Republic,66,ST,,,24,Jeju United
Frederik Holst,Denmark,66,RB,,,23,IF Elfsborg
Floriano Vanzo,Belgium,66,RM,LM,CM,24,Waasl. Beveren
Jordi Quintillà,Spain,66,CM,CAM,RM,24,FC St. Gallen
Thomas Ebner,Austria,66,CDM,CM,LB,26,FK Austria Wien
Marc Andre Schmerböck,Austria,66,LM,ST,,24,Wolfsberger AC
Patrick Möschl,Austria,66,RW,RM,LM,25,Dresden
Krzysztof Kamiński,Poland,66,GK,,,27,Júbilo Iwata
Ryan McLaughlin,Northern Ireland,66,RM,RWB,RB,23,Blackpool
Charalampos Lykogiannis,Greece,66,LB,CB,,24,Cagliari
Niklas LombL,Germany,66,GK,,,25,Sandhausen
Jonatan Lucca,Brazil,66,CDM,CM,,24,Os Belenenses
Michael Duffy,Northern Ireland,66,LM,RM,,24,Dundalk
Jordy Tutuarima,Netherlands,66,LB,CDM,,25,De Graafschap
Giovanni Korte,Netherlands,66,RM,,,25,NAC Breda
Robert Klaasen,Netherlands,66,CM,CDM,,24,De Graafschap
Kieran Sadlier,Republic of Ireland,66,LM,CAM,CM,23,Cork City
Joe Rafferty,Republic of Ireland,66,RB,RWB,CDM,24,Rochdale
Craig Goodwin,Australia,66,LW,LM,,26,Adelaide United
Buatu,Angola,66,CB,,,24,Rio Ave FC
Daniel Steres,United States,66,CB,RB,,27,LA Galaxy
Vedran Janjetović,Australia,66,GK,,,31,WS Wanderers
Tommaso Cancellotti,Italy,66,RM,RB,,26,Cittadella
Sebastian Rudol,Poland,66,CB,RB,,23,Pogoń Szczecin
Mateusz Matras,Poland,66,CDM,,,27,Zagłębie Lubin
Elton Acolatse,Netherlands,66,RM,ST,LM,23,Sint-Truiden
Djavan AndersonL,Netherlands,66,RB,,,23,Salerno
Danny Rose,England,66,CM,CDM,,30,Portsmouth
Bård Finne,Norway,66,LW,ST,,23,Vålerenga Fotball
Awadh Khamis Al Faraj,Saudi Arabia,66,CDM,CM,RB,30,Al Nassr
Alex Grant,Australia,66,CB,,,24,Perth Glory
Erik Correa,Colombia,66,ST,RW,,26,Deportes Tolima
Shaya Ali Sharahili,Saudi Arabia,66,CDM,CM,RM,28,Al Qadisiyah
Daniel Łukasik,Poland,66,CDM,CM,,27,Lechia Gdańsk
Frédéric Bong,Cameroon,66,CB,,,31,Paris FC
Nicolò Manfredini,Italy,66,GK,,,30,La Spezia
Cammy Smith,Scotland,66,CAM,LM,RM,22,St. Mirren
Nick Fitzgerald,Australia,66,RW,LW,,26,WS Wanderers
Jordan Moore-Taylor,England,66,CB,,,24,MK Dons
Rober Correa,Spain,66,RB,,,25,Cádiz CF
Alan Uryga,Poland,66,CB,,,24,Wisła Płock
Frédéric Brillant,France,66,CB,,,33,D.C. United
Alejandro Guido,United States,66,CM,,,24,Tijuana
Pelayo Novo,Spain,66,CAM,CDM,,27,Albacete BP
Matteo Ricci,Italy,66,CM,CDM,,24,La Spezia
Simone Branca,Italy,66,CM,CDM,CAM,26,Cittadella
Jon Guthrie,England,66,CB,,,26,Walsall
Mayoro N'Doye,Senegal,66,CM,CDM,,26,Gazélec Ajaccio
Davide Adorni,Italy,66,CB,,,26,Cittadella
Semi Ajayi,Nigeria,66,CB,,,24,Rotherham Utd
Stéfano Pinho,Brazil,66,ST,LW,CAM,27,Orlando City
Mateusz Mak,Poland,66,RM,CAM,,26,Piast Gliwice
Michał Mak,Poland,66,LM,RM,,26,Lechia Gdańsk
Amari'i Bell,England,66,LB,LWB,,24,Blackburn Rovers
Raymon Gaddis,United States,66,LB,RB,,28,Philadelphia
Alan Mendoza,Mexico,66,LB,,,24,U.N.A.M.
Kévin Mayi,France,66,ST,,,25,Stade Brestois
Nigel Bertrams,Netherlands,66,GK,,,25,FC Nordsjælland
Jose Villarreal,United States,66,CF,ST,LM,24,Orlando City
Hernán Pertuz,Colombia,66,CB,,,29,Indep. Medellín
Mikael Boman,Sweden,66,ST,,,30,Randers FC
Adrián Calello,Argentina,66,CDM,CM,,31,Banfield
Connor Lade,United States,66,RB,LB,,28,NY Red Bulls
Tom Naylor,England,66,CDM,CB,RB,27,Portsmouth
Marius Høibråten,Norway,66,CB,,,23,Sandefjord
Franck Boli,Ivory Coast,66,ST,LM,,24,Stabæk Fotball
Abdoulaye Sané,Senegal,66,ST,,,25,FCSM
Igors Tarasovs,Latvia,66,CB,,,29,Śląsk Wrocław
Nicolas Hasler,Liechtenstein,66,RM,RWB,RB,27,Chicago Fire
Juan Cruz,Spain,66,LB,LM,,26,Elche CF
Lawrence Olum,Kenya,66,CB,CDM,,34,Portland Timbers
Devante Cole,England,66,ST,LW,,23,Wigan Athletic
Marnick Vermijl,Belgium,66,RB,RWB,,26,Preston
Bryan Verboom,Belgium,66,LB,RB,,26,Zulte Waregem
Juhani Ojala,Finland,66,CB,,,29,BK Häcken
Moreno Rutten,Netherlands,66,RB,CM,,25,VVV-Venlo
Charles Dunne,Republic of Ireland,66,CB,LB,,25,Motherwell
Caner Çavlan,Netherlands,66,LB,,,26,FC Emmen
Cauley Woodrow,England,66,ST,,,23,Fulham
Borja García,Spain,66,CB,,,28,Extremadura UD
Gwion Edwards,Wales,66,LM,RM,,25,Ipswich
Massimiliano Busellato,Italy,66,CM,CDM,,25,Foggia
Johanna Omolo,Kenya,66,CDM,CM,,29,Cercle Brugge
Michael Ihiekwe,England,66,CB,,,25,Rotherham Utd
Anthony Forde,Republic of Ireland,66,RM,,,24,Rotherham Utd
Luca Martinelli,Italy,66,CB,RB,,29,Foggia
Jack Baldwin,England,66,CB,,,25,Sunderland
Baptiste Valette,France,66,GK,,,25,Nîmes Olympique
Jason Naismith,Scotland,66,RB,CB,,24,Peterborough
Sérgio Marakis,Portugal,66,CDM,,,26,Funchal
Kal Naismith,Scotland,66,LM,CAM,ST,26,Wigan Athletic
Bror Blume,Denmark,66,RM,LM,,26,Aarhus GF
Yuki Otsu,Japan,66,LM,RM,CAM,28,Yokohama F･M
Ryan Williams,Australia,66,LM,RM,,24,Rotherham Utd
Issiaka Ouédraogo,Burkina Faso,66,ST,LM,,30,SKN St. Pölten
Simon Kroon,Sweden,66,RM,RW,,25,Östersunds FK
Josh Meekings,England,66,CB,RB,,25,Dundee FC
Ryan Inniss,England,66,CB,,,23,Crystal Palace
Adedeji Oshilaja,England,66,CB,,,25,AFC Wimbledon
Alexander Ludwig,Denmark,66,CB,,,25,Odense BK
Álex Barrera,Spain,66,CM,CAM,CDM,27,Extremadura UD
Simon Brandstetter,Germany,66,ST,,,28,SV Wehen
Donny Toia,United States,66,LB,,,26,Orlando City
José Ángel,Spain,66,CM,CDM,,26,FK Bodø/Glimt
Danny Rose,England,66,ST,,,24,Mansfield Town
Jake Reeves,England,66,CM,RM,,25,Bradford City
Samir CarruthersL,Republic of Ireland,66,CAM,CM,,25,Oxford United
Ben Halloran,Australia,66,RW,CAM,,26,Adelaide United
Cidinho,Brazil,66,CAM,,,25,AS Béziers
Scott Wootton,England,66,CB,RB,,26,Plymouth Argyle
Ryu Won Woo,Korea Republic,66,GK,,,28,Pohang Steelers
Sin Se GyeL,Korea Republic,66,RB,LM,,27,Sangju Sangmu
Choi Bo Kyung,Korea Republic,66,CB,,,30,Jeonbuk Hyundai
Park Jin Po,Korea Republic,66,RM,LM,,31,Jeju United
Jake Gleeson,New Zealand,66,GK,,,28,Portland Timbers
David Boo Wiklander,Sweden,66,CB,,,33,IFK Göteborg
Joonas Tamm,Estonia,66,CB,,,26,Sarpsborg 08 FF
Nicolás Peñailillo,Chile,66,LB,LM,,27,Depor. Iquique
Chris Forrester,Republic of Ireland,66,CDM,CM,LM,25,Aberdeen
Sean McDermott,Republic of Ireland,66,GK,,,25,Kristiansund
Martin Angha,Switzerland,66,CB,LB,RB,24,FC Sion
Jordan Graham,England,66,LM,RM,,23,Wolves
Mateusz Szczepaniak,Poland,66,ST,RM,,27,Cracovia
Abdón,Spain,66,ST,LW,,25,RCD Mallorca
Manuel Sánchez,Spain,66,CDM,CM,,30,Elche CF
Kristoffer Larsen,Norway,66,LM,RM,,26,Sarpsborg 08 FF
Michael Doughty,Wales,66,CM,,,25,Swindon Town
Borja Granero,Spain,66,CDM,CB,CM,28,Extremadura UD
Alex Rodman,England,66,LM,RM,,31,Bristol Rovers
Nicolai Næss,Norway,66,CB,,,25,SC Heerenveen
Magnar Ødegaard,Norway,66,CB,,,25,Tromsø IL
Joe Willis,United States,66,GK,,,30,Houston Dynamo
George Long,England,66,GK,,,24,Hull City
Riku Riski,Finland,66,RW,LW,,29,HJK Helsinki
Jordan Cousins,England,66,CM,RM,RWB,24,QPR
Chuks Aneke,England,66,ST,CAM,,25,MK Dons
Zarek Valentin,United States,66,LB,RB,,27,Portland Timbers
Ethan Ebanks-Landell,England,66,CB,,,25,Wolves
Callum Harriott,England,66,LM,RM,,24,Reading
Will Keane,England,66,ST,,,25,Hull City
Russell Teibert,Canada,66,CDM,CM,,25,Whitecaps FC
Máté Pátkai,Hungary,66,CDM,CM,,30,Free Agents
Pardo,Spain,66,CB,CDM,,30,Extremadura UD
Nicklas Helenius,Denmark,66,ST,,,27,Odense BK
Antonio Donnarumma,Italy,66,GK,,,28,Milan
Rafał JanickiL,Poland,66,CB,,,26,Lech Poznań
Jakub Słowik,Poland,66,GK,,,26,Śląsk Wrocław
Nicolao Dumitru,Italy,66,LM,ST,RM,26,Nàstic
Mike Könnecke,Germany,66,CAM,RM,CM,29,FSV Zwickau
Fran Cruz,Spain,66,CB,,,27,Miedź Legnica
Tobias Rühle,Germany,66,RM,ST,,27,Preußen Münster
Kieron Freeman,Wales,66,RWB,RB,,26,Sheffield Utd
Park Jong Woo,Korea Republic,66,CM,CDM,,29,Suwon Samsung
Lars Hutten,Netherlands,66,CAM,LW,CM,28,Fortuna Sittard
Ted van de Pavert,Netherlands,66,CB,,,26,De Graafschap
Ole Jørgen Halvorsen,Norway,66,RM,,,30,Sarpsborg 08 FF
Ben Coker,England,66,LB,,,29,Southend United
Thilo Leugers,Germany,66,CDM,CM,,27,SV Meppen
Nicolai Larsen,Denmark,66,GK,,,27,FC Nordsjælland
Pavao Pervan,Austria,66,GK,,,30,VfL Wolfsburg
Milton Raphael,Brazil,66,GK,,,27,V. Setúbal
Łukasz Gikiewicz,Poland,66,ST,,,30,Al Batin
Gernot Trauner,Austria,66,CB,,,26,LASK Linz
Marvin Potzmann,Austria,66,LM,LB,RB,24,SK Rapid Wien
Jesper Bøge,Denmark,66,RB,,,28,Hobro IK
Stefan Payne,England,66,ST,,,27,Bristol Rovers
Glynor Plet,Netherlands,66,ST,,,31,Alanyaspor
Jony Ñíguez,Spain,66,CDM,CM,,33,Elche CF
Benja,Spain,66,ST,,,30,Elche CF
Andreas Wittwer,Switzerland,66,LB,LM,,27,FC St. Gallen
Diego Maurício,Brazil,66,LM,ST,LW,27,Gangwon FC
Marco Crimi,Italy,66,CM,CDM,,28,La Spezia
Kevin Dawson,Republic of Ireland,66,RM,CM,,28,Cheltenham Town
Andy Boyle,Republic of Ireland,66,CB,,,27,Preston
Sergiu Suciu,Romania,66,CM,CDM,,28,Venezia
Pierre Bouby,France,66,CDM,,,34,US Orléans
Fredrik Oldrup JensenL,Norway,66,CM,,,25,IFK Göteborg
Alberto Acosta,Mexico,66,LB,CM,RB,30,Tigres
Daniel Cappelletti,Italy,66,CB,RB,,26,Padova
Liam Palmer,Scotland,66,RWB,RB,,26,Sheffield Wed
Lee Nicholls,England,66,GK,,,25,MK Dons
Chris Schuler,United States,66,CB,,,30,Orlando City
Seth Sinovic,United States,66,LB,,,31,Sporting KC
Alexander Bannink,Netherlands,66,RM,CM,,28,FC Emmen
Dominik Stahl,Germany,66,CDM,CM,,30,Unterhaching
Collen Warner,United States,66,CDM,CM,,30,Minnesota United
Adam Straith,Canada,66,CB,CDM,RB,27,Sportfreunde Lotte
Kevin Pannewitz,Germany,66,CM,CDM,,26,Carl Zeiss Jena
Marcus Piossek,Poland,66,RM,CAM,LM,29,Sportfreunde Lotte
Umaru Bangura,Sierra Leone,66,CB,CDM,,30,FC Zürich
Fabien Farnolle,Benin,66,GK,,,33,Yeni Malatyaspor
John Marquis,England,66,ST,,,26,Doncaster
Tom Flanagan,Northern Ireland,66,LB,CB,RB,26,Sunderland
Omar Beckles,England,66,LB,CB,,26,Shrewsbury
Trujillo,Spain,66,CB,,,30,UD Almería
Simon Moore,England,66,GK,,,28,Sheffield Utd
Francesco Signori,Italy,66,CM,CDM,,29,Venezia
Lee Brown,England,66,LB,,,28,Portsmouth
Ben Pringle,England,66,LM,,,30,Preston
Patrick Funk,Germany,66,CDM,RB,,28,VfR Aalen
Allan Pierre Baclet,France,66,ST,LW,,32,Cosenza
Joe Mason,Republic of Ireland,66,ST,RW,,27,Wolves
David Wotherspoon,Canada,66,RM,LM,,28,St. Johnstone
Musa Nizam,Turkey,66,LB,CB,,27,Antalyaspor
Marcos Álvarez,Germany,66,CF,ST,CAM,26,VfL Osnabrück
Lerin Duarte,Netherlands,66,CM,LB,,28,Heracles Almelo
Pascal Schürpf,Switzerland,66,LM,LW,ST,29,FC Luzern
Christoph Schösswendter,Austria,66,CB,,,30,Union Berlin
Luis Madrigal,Mexico,66,ST,,,25,Monterrey
Ash Taylor,Wales,66,CB,,,27,Northampton
Nicolaj Madsen,Denmark,66,CM,RM,CDM,30,Vejle Boldklub
Giorgi Merebashvili,Georgia,66,LM,,,32,Wisła Płock
Přemysl Kovář,Czech Republic,66,GK,,,32,Slavia Praha
Nathan Thompson,England,66,RB,CB,CDM,27,Portsmouth
Shane Ferguson,Northern Ireland,66,LM,LB,,27,Millwall
Steven Vitória,Canada,66,CB,,,31,Lechia Gdańsk
Lee Novak,England,66,ST,,,29,Scunthorpe Utd
Adam Matuszczyk,Poland,66,CM,CDM,,29,Zagłębie Lubin
Mario Ortíz,Spain,66,CDM,CM,,29,CF Reus
Gael Acosta,Mexico,66,LM,LW,,26,Querétaro
Kwak Kwang Sun,Korea Republic,66,CB,,,32,Suwon Samsung
Lim Sang Hyub,Korea Republic,66,LW,LM,,30,Suwon Samsung
Masahiko Inoha,Japan,66,CB,RB,CDM,32,Vissel Kobe
Adnan Ibrahem Falatah,Saudi Arabia,66,LB,CB,,34,Al Qadisiyah
Naif Ahmed Hazazi,Saudi Arabia,66,ST,,,30,Ohod Club
Dejan Jaković,Canada,66,CB,,,33,LAFC
Mateusz Machaj,Poland,66,CAM,ST,,29,Jagiellonia
Mikael Dyrestam,Sweden,66,CB,RB,LB,26,Kalmar FF
Filipe Brigues,Portugal,66,RB,,,28,GD Chaves
Sean McConville,England,66,LM,,,29,Accrington
Brad Inman,Australia,66,LM,CAM,,26,Rochdale
Mushaga Bakenga,Norway,66,ST,LW,,26,Tromsø IL
Marvin Sordell,England,66,ST,RM,,27,Burton Albion
Jonathan Obika,England,66,ST,,,27,Oxford United
Mike Grella,United States,66,LM,,,31,Columbus Crew SC
Michael Sollbauer,Austria,66,CB,,,28,Wolfsberger AC
Rodney Wallace,Costa Rica,66,LM,LW,,30,New York City FC
Michael Smith,England,66,ST,,,26,Rotherham Utd
Daniel Gustavsson,Sweden,66,RM,LM,RB,27,IF Elfsborg
Mustafa Abdellaoue,Norway,66,ST,,,30,Strømsgodset IF
Wes Thomas,England,66,ST,,,31,Grimsby Town
John Brayford,England,66,RB,CB,RWB,30,Burton Albion
Jordan Clarke,England,66,RB,,,26,Scunthorpe Utd
Chris Tierney,United States,66,LB,,,32,New England
Nzuzi Toko,DR Congo,66,CM,CDM,CAM,27,Al Fateh
Mark Marshall,Jamaica,66,RM,LM,,31,Charlton Ath
David Templeton,Scotland,66,LM,CM,ST,29,Burton Albion
Nicolás Crovetto,Chile,66,LB,,,32,Audax Italiano
Federico Casarini,Italy,66,CM,CDM,,29,Ascoli
Zdeněk Ondrášek,Czech Republic,66,ST,,,29,Wisła Kraków
Matteo Bruscagin,Italy,66,CB,RB,LB,29,Venezia
Christopher Telo,Sweden,66,LB,,,28,Molde FK
Júnior Negão,Brazil,66,ST,RW,,31,Ulsan Hyundai
Peter Pawlett,Scotland,66,RM,CM,CAM,27,MK Dons
Michał Buchalik,Poland,66,GK,,,29,Wisła Kraków
Szymon Matuszek,Poland,66,CDM,CM,,29,Górnik Zabrze
Ken Ilsø,Denmark,66,ST,CAM,,31,Adelaide United
Fábinho,Brazil,66,LB,,,33,Philadelphia
Zlatko Janjić,Bosnia Herzegovina,66,CAM,,,32,Korona Kielce
Alexander Dercho,Germany,66,LB,,,31,VfL Osnabrück
Edouard Butin,France,66,ST,,,30,Stade Brestois
Junior Dalé,France,66,ST,,,33,Nancy
Brian Easton,Scotland,66,LB,,,30,St. Johnstone
Yannick Thoelen,Belgium,66,GK,,,28,KAA Gent
Furdjel Narsingh,Netherlands,66,RM,,,30,De Graafschap
Shaun Brisley,England,66,CB,,,28,Notts County
Jorge Ibarra,Mexico,66,CM,CDM,,29,Lobos
Omar Mendoza,Mexico,66,RB,,,29,Tijuana
Erik PimentelL,Mexico,66,CB,,,28,Puebla
Lee Yun Pyo,Korea Republic,66,CB,,,33,Incheon United
Jairo GonzálezL,Mexico,66,LB,LM,,26,Lobos
César Cercado,Mexico,66,CB,,,29,Lobos
David Horst,United States,66,CB,,,32,Real Salt Lake
Shea Salinas,United States,66,LM,LWB,LB,32,SJ Earthquakes
Sean Franklin,United States,66,RB,CB,,33,Whitecaps FC
Tony Beltran,United States,66,RB,,,30,Real Salt Lake
Mark Oxley,England,66,GK,,,27,Southend United
Liam Kelly,Scotland,66,CDM,CM,,28,Coventry City
Sean Scannell,Republic of Ireland,66,RM,,,27,Bradford City
Nicklas Bärkroth,Sweden,66,RM,,,26,Djurgårdens IF
Taijo Teniste,Estonia,66,RB,RWB,,30,SK Brann
Demar Phillips,Jamaica,66,LB,,,34,Real Salt Lake
John Goossens,Netherlands,66,CAM,RW,LW,30,ADO Den Haag
Léo Schwechlen,France,66,CB,LB,,29,BB Erzurumspor
Sander Fischer,Netherlands,66,CB,,,29,Vendsyssel FF
Nick BlackmanL,England,66,RM,ST,LM,28,R. Sporting
Jem Karacan,Turkey,66,CM,CDM,,29,Millwall
Ľubomír Guldan,Slovakia,66,CB,,,35,Zagłębie Lubin
Lukáš Vácha,Czech Republic,66,CDM,CM,,29,Sparta Praha
Michelangelo Albertazzi,Italy,66,LB,,,27,Livorno
Donny Gorter,Netherlands,66,CM,,,30,ADO Den Haag
Matías Sánchez,Argentina,66,CDM,CM,,31,San Martín
Martin Kobras,Austria,66,GK,,,32,SCR Altach
Christian Ramsebner,Austria,66,CB,,,29,LASK Linz
Erik Domaschke,Germany,66,GK,,,32,SV Meppen
Konstantin Engel,Kazakhstan,66,LB,RB,CB,30,VfL Osnabrück
Graham Burke,Republic of Ireland,66,CAM,LM,,24,Preston
Abu Ogogo,England,66,CM,CDM,,28,Coventry City
Joe Jacobson,Wales,66,LB,,,31,Wycombe
Matteo Rubin,Italy,66,LB,LM,,31,Foggia
Tom Elliott,England,66,ST,,,27,Millwall
Jayson Leutwiler,Canada,66,GK,,,29,Blackburn Rovers
Petar Zanev,Bulgaria,66,LB,CB,,32,Free Agents
Krystian Pearce,England,66,CB,,,28,Mansfield Town
Birkir Már Sævarsson,Iceland,66,RB,,,33,Free Agents
Zhang Wenzhao,China PR,66,LM,RM,,31,Guangzhou
Vegard Skjerve,Norway,66,CB,,,30,FK Haugesund
Rafał Grzyb,Poland,66,CDM,RB,,35,Jagiellonia
Aldo Angoula,France,66,CB,,,37,La Berrichonne
Jérémy Huyghebaert,Belgium,66,LB,CB,LWB,29,Excel Mouscron
Mirko Drudi,Italy,66,CB,RB,,31,Cittadella
Mao Jianqing,China PR,66,LW,LM,ST,32,Shanghai Shenhua
Hiroyuki Taniguchi,Japan,66,CB,,,33,Sagan Tosu
Matt McKay,Australia,66,CM,,,35,Brisbane Roar
Isidoro,Spain,66,RB,LB,,32,FK Bodø/Glimt
Oliver Bozanic,Australia,66,CM,CDM,,29,Hearts
Jermaine Beckford,Jamaica,66,ST,,,34,Bury
Jesper Juelsgård,Denmark,66,CB,LB,,29,Aarhus GF
Adam Marciniak,Poland,66,LB,,,29,Arka Gdynia
Liam Trotter,England,66,CM,CAM,CDM,29,AFC Wimbledon
Andrea Cocco,Italy,66,ST,,,32,Pescara
Francesco Della Rocca,Italy,66,CM,,,30,Padova
Nicola Madonna,Italy,66,RB,RM,RWB,31,Padova
Jean-Baptiste Pierazzi,France,66,CDM,CM,,33,Gazélec Ajaccio
Łukasz Broź,Poland,66,RB,,,32,Śląsk Wrocław
Andreas Nordvik,Norway,66,CB,LB,,31,Odds BK
Ryan Taylor,England,66,ST,,,30,Plymouth Argyle
Kai Bülow,Germany,66,CDM,CB,,32,Hansa Rostock
Chris Taylor,England,66,LM,RM,,31,Blackpool
Gary Roberts,England,66,CAM,,,34,Wigan Athletic
Frédéric Nimani,France,66,ST,CF,LW,29,Neuchâtel Xamax
Jesper Arvidsson,Sweden,66,LB,,,33,IK Sirius
Anthony Marin,France,66,CB,,,28,AC Ajaccio
Bréiner Castillo,Colombia,66,GK,,,40,Atlético Huila
Tim Danneberg,Germany,66,CM,CAM,CDM,32,VfL Osnabrück
Kim Chang Soo,Korea Republic,66,RB,RWB,,32,Ulsan Hyundai
Rafał Boguski,Poland,66,RM,,,34,Wisła Kraków
